beds,baths,size,lot_size,zip_code,price
3,2.0,1731.0,7514.0,98125,575000.0
3,2.5,1500.0,8240.0,98105,860000.0
2,2.5,1344.0,1110.0,98122,770000.0
4,5.5,4040.0,8965.0,98105,5495000.0
5,3.0,2320.0,11761.2,98168,560000.0
5,3.0,2820.0,6250.0,98136,900000.0
3,1.0,1070.0,3840.0,98117,575000.0
4,2.0,2100.0,4864.0,98117,950000.0
3,2.5,2620.0,4080.0,98119,1300000.0
3,2.0,1270.0,1333.0,98103,727000.0
3,2.0,2702.0,6600.0,98103,1605000.0
4,3.5,2031.0,43560.0,98117,1480000.0
3,2.0,2350.0,7320.0,98178,888000.0
4,1.5,2640.0,7440.0,98115,1850000.0
3,1.5,1340.0,5120.0,98106,615000.0
6,3.5,8660.0,12196.800000000001,98102,4100000.0
3,1.0,1800.0,11761.2,98168,549000.0
2,1.0,870.0,6554.0,98118,555000.0
3,3.5,1510.0,1239.0,98103,660000.0
3,1.0,1120.0,6096.0,98106,615000.0
4,2.5,2580.0,11325.6,98146,1635000.0
3,4.0,2220.0,974.0,98109,1650000.0
3,2.0,1496.0,43560.0,98144,910000.0
4,3.5,2670.0,3405.0,98118,1022700.0
2,1.5,1810.0,6827.0,98115,925000.0
1,1.0,582.0,21780.0,98109,360000.0
3,5.5,1530.0,1336.0,98103,635000.0
2,1.0,820.0,5100.0,98118,490000.0
3,2.0,1960.0,5000.0,98105,950000.0
4,3.0,2110.0,10454.4,98133,760000.0
4,3.5,3010.0,4000.0,98106,985000.0
3,1.0,2200.0,5000.0,98105,1250000.0
3,2.5,1820.0,176418.0,98118,690000.0
4,4.0,3040.0,4000.0,98119,1585000.0
3,2.0,1800.0,6180.0,98118,936000.0
3,3.0,1450.0,525.0,98117,750000.0
4,2.0,2400.0,5400.0,98119,1385000.0
4,3.5,3057.0,7650.0,98117,1800000.0
4,4.0,3142.0,6000.0,98119,1600000.0
3,1.0,1050.0,3750.0,98106,399950.0
3,2.0,1720.0,5000.0,98199,855000.0
3,3.5,2650.0,8500.0,98136,1095000.0
2,1.5,2680.0,6000.0,98102,1125000.0
4,2.5,2550.0,5000.0,98115,1560000.0
9,4.0,3800.0,6000.0,98116,1343000.0
4,2.0,1910.0,6000.0,98168,630000.0
2,1.0,773.0,10890.0,98133,360000.0
4,3.5,2661.0,4081.0,98108,1165000.0
4,3.0,2250.0,5250.0,98115,1150000.0
4,1.5,2080.0,5000.0,98116,950000.0
3,3.5,1370.0,982.0,98117,699500.0
1,1.0,699.0,186001.19999999998,98115,335000.0
2,3.0,1840.0,9420.0,98125,800000.0
4,3.5,3040.0,16988.4,98177,1495000.0
5,8.5,3110.0,4455.0,98115,1606500.0
2,2.0,1147.0,564.0,98115,749950.0
2,2.5,1538.0,900.0,98105,895000.0
2,1.0,1480.0,4600.0,98126,720000.0
2,2.0,866.0,649.0,98107,555000.0
4,3.5,2000.0,1532.0,98115,870000.0
3,3.5,1470.0,1375.0,98117,845000.0
2,2.0,1840.0,5000.0,98122,1200000.0
4,2.0,2230.0,5940.0,98125,925000.0
2,1.5,1290.0,1332.0,98115,795000.0
1,1.0,630.0,10454.4,98146,459000.0
3,2.0,1880.0,3200.0,98144,911000.0
2,1.5,1300.0,3146.0,98133,570288.0
2,2.0,1071.0,67082.40000000001,98119,605000.0
5,4.0,2810.0,5000.0,98103,1295000.0
4,2.5,2400.0,3200.0,98109,1595000.0
3,2.5,2734.0,4000.0,98109,1605200.0
3,2.5,1670.0,1687.0,98117,865000.0
3,3.0,1530.0,2260.0,98126,745000.0
4,1.0,1720.0,2835.0,98122,543750.0
3,1.0,1200.0,5786.0,98105,1099950.0
5,3.0,2030.0,5046.0,98144,905000.0
3,2.0,2370.0,4865.0,98126,1200000.0
3,1.5,1720.0,3825.0,98117,825000.0
1,1.0,813.0,10454.4,98121,680000.0
3,2.0,1590.0,8937.0,98106,720000.0
2,1.0,840.0,4000.0,98108,489000.0
5,2.5,2870.0,8741.0,98168,520000.0
2,1.5,994.0,1494.0,98106,580000.0
3,2.0,1630.0,6000.0,98168,630000.0
3,2.0,1806.0,4400.0,98126,799000.0
4,2.5,3060.0,4590.0,98115,1450000.0
5,3.5,3820.0,7200.0,98118,1350000.0
3,2.5,2350.0,7200.0,98115,1582800.0
3,2.5,2080.0,9880.0,98117,977000.0
3,1.0,1000.0,5960.0,98118,710000.0
2,1.5,1131.0,43560.0,98144,685000.0
4,3.0,2230.0,9625.0,98178,1205000.0
5,3.0,3130.0,5750.0,98122,2095000.0
5,3.0,3750.0,5000.0,98107,1580000.0
2,2.0,1720.0,5000.0,98116,985000.0
3,2.0,1286.0,870.0,98136,738000.0
2,1.0,1422.0,3399.0,98117,715000.0
4,3.5,3956.0,12632.4,98125,3200000.0
6,5.0,3620.0,5500.0,98119,1420000.0
3,1.5,1370.0,6556.0,98178,659950.0
2,3.0,1824.0,16117.199999999999,98101,2458000.0
4,2.0,2370.0,5000.0,98115,1350000.0
4,2.5,2200.0,5146.0,98106,825000.0
6,3.0,3020.0,32670.0,98178,775000.0
5,3.0,3400.0,18730.8,98168,756500.0
3,1.0,1660.0,4349.0,98115,749900.0
4,2.0,2080.0,7200.0,98178,675000.0
2,1.0,900.0,6150.0,98126,480000.0
4,4.5,3960.0,7025.0,98144,2485000.0
5,3.5,3310.0,6328.0,98115,1575000.0
1,1.0,621.0,13503.6,98133,289900.0
4,2.0,1910.0,5166.0,98106,685000.0
3,2.5,1563.0,1950.0,98118,839950.0
5,3.5,3340.0,10454.4,98106,980000.0
4,3.0,2390.0,3600.0,98119,1300000.0
2,1.5,1131.0,43560.0,98144,670000.0
2,2.0,1201.0,720.0,98103,699950.0
3,3.0,1940.0,5000.0,98199,450000.0
2,1.0,1760.0,4625.0,98116,715000.0
4,3.0,1680.0,3080.0,98117,905000.0
2,2.0,1192.0,928.0,98103,719950.0
4,4.0,2300.0,3589.0,98105,1440000.0
3,2.5,2304.0,5000.0,98117,1100000.0
4,4.0,2650.0,6000.0,98103,1000000.0
5,4.0,4210.0,5200.0,98105,2625000.0
4,3.0,2840.0,9996.0,98177,1350000.0
2,1.0,980.0,4100.0,98107,863000.0
4,4.5,2440.0,5000.0,98105,1900000.0
2,2.0,1140.0,2550.0,98117,590000.0
4,3.5,1824.0,3250.0,98103,1299000.0
2,2.0,1115.0,41817.6,98121,1069000.0
4,3.0,2478.0,4001.0,98105,2095000.0
2,2.0,1140.0,5445.0,98133,665000.0
3,1.5,1172.0,5760.0,98122,685000.0
2,2.0,1433.0,1948.0,98136,750000.0
3,2.0,1520.0,4000.0,98117,760000.0
3,2.5,1380.0,2250.0,98106,590000.0
15,6.0,11010.0,14374.800000000001,98112,3700000.0
4,2.0,1750.0,4950.0,98105,1025000.0
3,2.5,3590.0,4250.0,98103,1725000.0
5,3.0,2040.0,6180.0,98118,605000.0
2,2.0,1560.0,6750.0,98115,980000.0
2,2.5,1088.0,5500.0,98107,835000.0
2,1.0,1460.0,5700.0,98115,400000.0
3,2.0,1380.0,2909.0,98117,800000.0
2,1.0,1000.0,4640.0,98116,793000.0
2,2.0,1128.0,6000.0,98144,625000.0
1,1.0,776.0,47480.4,98116,515000.0
3,2.5,2000.0,7440.0,98106,799000.0
4,5.5,2867.0,4983.0,98115,1750000.0
4,3.0,1180.0,4650.0,98117,956300.0
3,2.0,1920.0,3154.0,98199,1067000.0
2,2.0,2220.0,5950.0,98126,551000.0
2,3.0,1300.0,915.0,98107,780000.0
3,2.0,1460.0,5005.0,98106,583000.0
3,2.5,2500.0,4305.0,98117,1685000.0
3,2.5,1540.0,1037.0,98122,852500.0
5,3.0,2550.0,6604.0,98106,940000.0
3,2.5,1520.0,1062.0,98106,540700.0
1,1.0,640.0,15245.999999999998,98104,345000.0
4,3.0,2190.0,5136.0,98126,860000.0
2,1.0,930.0,6000.0,98133,620000.0
5,2.5,2900.0,10018.800000000001,98106,800000.0
4,3.5,2780.0,4000.0,98112,950000.0
3,1.0,2560.0,8927.0,98125,776000.0
3,2.5,1566.0,1602.0,98122,875000.0
2,2.0,1245.0,179031.6,98168,330000.0
3,2.5,1190.0,1290.0,98144,750000.0
5,2.5,2760.0,6350.0,98126,1025000.0
4,1.5,3260.0,5568.0,98199,1695000.0
4,3.0,2380.0,4635.0,98115,1399999.0
2,2.5,1884.0,11761.2,98116,925000.0
3,2.5,1712.0,1215.0,98117,910000.0
2,2.0,1196.0,780.0,98107,734999.0
3,2.0,1098.0,2320.0,98105,864950.0
3,3.0,1250.0,6350.0,98117,815000.0
1,1.0,880.0,4500.0,98122,700000.0
4,2.0,1595.0,5500.0,98118,525000.0
3,3.0,2380.0,5000.0,98136,1230000.0
3,2.0,3190.0,4380.0,98112,2700000.0
3,2.5,1465.0,2973.0,98119,1175000.0
4,2.0,2910.0,8360.0,98115,1400000.0
2,3.0,1140.0,650.0,98144,675000.0
1,1.0,500.0,4000.0,98168,385000.0
3,2.0,1580.0,6400.0,98126,942000.0
5,3.0,2430.0,7812.0,98133,915000.0
2,2.0,2360.0,5800.0,98199,1460000.0
3,2.5,1396.0,4800.0,98136,780000.0
4,2.0,2340.0,7500.0,98115,925000.0
4,1.5,2140.0,6511.0,98125,700500.0
4,3.0,2980.0,4480.0,98105,1090000.0
3,1.5,1390.0,9350.0,98168,412000.0
2,1.0,720.0,4240.0,98106,525000.0
4,2.5,1850.0,2856.0,98108,945000.0
3,4.5,1710.0,1326.0,98126,725000.0
2,1.0,970.0,15245.999999999998,98106,386000.0
3,2.0,1606.0,900.0,98109,1450000.0
3,2.5,1815.0,1500.0,98103,1295000.0
2,1.0,1120.0,1188.0,98122,700000.0
4,2.0,2220.0,9295.0,98177,995000.0
3,2.0,1460.0,4590.0,98117,888000.0
5,3.0,3820.0,7980.0,98116,1575000.0
3,3.5,2480.0,2400.0,98119,1795000.0
5,3.0,2777.0,7026.0,98125,1338600.0
3,1.0,1430.0,2280.0,98103,980000.0
2,5.5,1320.0,1250.0,98144,679950.0
2,2.0,2170.0,5250.0,98116,893000.0
3,1.5,1630.0,6615.0,98115,895000.0
2,2.0,1900.0,2164.0,98122,1310000.0
3,2.0,1760.0,4000.0,98106,689000.0
3,2.5,1712.0,1514.0,98107,970000.0
4,2.5,3190.0,5500.0,98102,1820000.0
4,3.5,3590.0,4000.0,98109,2900000.0
1,1.0,630.0,4895.0,98133,255000.0
5,2.0,1830.0,5220.0,98118,665000.0
2,1.0,760.0,3072.0,98144,250000.0
3,2.5,2600.0,5100.0,98117,1148000.0
3,2.0,2130.0,4850.0,98107,990200.0
3,3.5,2899.0,5346.0,98199,1800000.0
3,1.0,1090.0,13503.6,98178,400000.0
4,4.0,3360.0,5000.0,98107,1200000.0
